,noun,gender,lang
0,zéolithe,m,fr
1,wingsuit,m,fr
2,vaudaire,m,fr
3,zériba,m,fr
4,triskèle,m,fr
5,triskel,m,fr
7,zygène,m,fr
8,teufteuf,m,fr
9,teuf-teuf,m,fr
11,speedball,m,fr
12,tequila,m,fr
13,sagène,m,fr
14,poque,m,fr
15,rubalise,m,fr
16,ptéridophyte,m,fr
17,señorita,m,fr
19,oille,m,fr
20,porter,m,fr
21,pálinka,m,fr
22,novlangue,m,fr
23,nori,m,fr
24,mycène,m,fr
25,marketplace,m,fr
27,palapa,m,fr
28,mesdemet,m,fr
31,ligéa,m,fr
32,lépidolite,m,fr
33,interglaciaire,m,fr
34,kalashnikov,m,fr
35,lépidolithe,m,fr
36,ice-cream,m,fr
37,kalachnikov,m,fr
38,guillery,m,fr
39,ibéris,m,fr
40,high-tech,m,fr
41,ecstasy,m,fr
42,ecocup,m,fr
43,diatiguiya,m,fr
44,contradictoire,m,fr
46,compribande,m,fr
47,carbo,m,fr
48,bulbille,m,fr
49,bouza,m,fr
50,cadole,m,fr
51,écocup,m,fr
52,chasuble,m,fr
53,carbonara,m,fr
54,cétoine,m,fr
55,banknote,m,fr
56,aure,m,fr
57,astérolide,m,fr
58,autostrade,m,fr
59,banquette-lit,m,fr
60,asode,m,fr
61,boot,m,fr
62,alvéole,m,fr
63,ambage,m,fr
64,ardée,m,fr
65,épigramme,f,fr
66,drill,m,fr
67,trabe,f,fr
68,solandre,f,fr
69,skins,f,fr
70,salope,m,fr
71,salamandre,f,fr
72,psylle,m,fr
73,plantain,m,fr
74,phyllophore,m,fr
75,pick-up,m,fr
76,oyas,m,fr
77,oya,m,fr
78,néophyte,m,fr
79,maya,m,fr
80,mamma,f,fr
81,griffe,f,fr
82,grotesque,m,fr
83,gode,m,fr
84,game,f,fr
85,filaire,m,fr
87,dawa,m,fr
88,cri,m,fr
91,bure,f,fr
92,escarpe,f,fr
93,fadet,m,fr
94,fade,f,fr
95,fare,f,fr
97,épigraphe,f,fr
99,épagogue,f,fr
100,dynamique,f,fr
101,enhydre,m,fr
102,épitrope,f,fr
103,erre,m,fr
104,dump,m,fr
105,dramatique,f,fr
107,drille,m,fr
108,drive,m,fr
109,russe,m,fr
110,drome,f,fr
111,romanesque,m,fr
112,rogue,f,fr
113,rhino,f,fr
115,récap,m,fr
116,remise,f,fr
117,récade,f,fr
118,rotule,f,fr
119,romaïque,m,fr
120,robot,m,fr
122,relâche,m,fr
125,volley,m,fr
126,zonite,f,fr
128,vis,f,fr
129,pyrène,m,fr
130,zoom,m,fr
131,vulnéraire,m,fr
133,zine,m,fr
136,trochoïde,f,fr
137,roto,f,fr
139,trompette,f,fr
140,trolle,f,fr
141,transat,m,fr
142,venda,m,fr
144,trochée,m,fr
145,touche,f,fr
146,thora,f,fr
148,tétragone,m,fr
150,tech,f,fr
152,teuch,f,fr
153,tique,f,fr
154,tennis,m,fr
155,tempo,m,fr
156,tatane,f,fr
157,tanne,f,fr
158,temple,m,fr
161,strophe,f,fr
162,tarsite,f,fr
164,source,f,fr
165,string,m,fr
166,sténodactyle,m,fr
167,systémique,m,fr
171,strap,f,fr
172,soûleur,m,fr
173,scolie,f,fr
175,sille,m,fr
176,shed,m,fr
177,self,m,fr
178,sarcophage,m,fr
179,strass,m,fr
180,semi-remorque,f,fr
181,sciotte,m,fr
182,schneck,m,fr
183,saponite,f,fr
184,scale-up,m,fr
185,psycho,m,fr
186,sauce,f,fr
187,simples,m,fr
189,pub,f,fr
190,sangle,f,fr
194,prime,f,fr
196,pourpre,f,fr
198,prod,f,fr
200,pompadour,m,fr
201,pouf,m,fr
202,poêle,f,fr
203,pratique,f,fr
205,plature,m,fr
206,pompe,f,fr
208,plastique,f,fr
209,postiche,m,fr
210,popo,m,fr
212,pleige,m,fr
213,pive,m,fr
214,plane,m,fr
215,plume,f,fr
216,période,f,fr
217,pigouille,f,fr
221,parallèle,f,fr
222,philo,f,fr
224,palmifère,f,fr
228,palme,f,fr
229,ortalide,f,fr
