abandonnataire, masculine
abélite, masculine
abkhaze, masculine
ablon, masculine
abolitioniste, masculine
abolitionniste, masculine
aborigène, masculine
aboulique, masculine
absolutiste, masculine
académique, masculine
académiste, masculine
accessoiriste, masculine
accidentologue, masculine
accordéoniste, masculine
accordiste, masculine
accro, masculine
acéphale, masculine
achache, masculine
aciériste, masculine
acméiste, masculine
acridophage, masculine
acrobate, masculine
acromégale, masculine
acrophile, masculine
actionnaire, masculine
activiste, masculine
actuaire, masculine
adamite, masculine
addictologue, masculine
adelphe, masculine
adepte, masculine
adéquiste, masculine
adjudicataire, masculine
ado, masculine
adulte, masculine
adultère, masculine
adventiste, masculine
adversaire, masculine
aéromodéliste, masculine
aéronaute, masculine
affairiste, masculine
affichiste, masculine
africaniste, masculine
agnostique, masculine
agrochimiste, masculine
agronome, masculine
aide, masculine
ailurophile, masculine
ajiste, masculine
alais, masculine
alaouite, masculine
alarmiste, masculine
alawite, masculine
albanophone, masculine
albinos, masculine
alcoolique, masculine
alcoolo, masculine
alcoologue, masculine
algébriste, masculine
aliénataire, masculine
aliéniste, masculine
allais, masculine
allemaniste, masculine
allergologiste, masculine
allergologue, masculine
allocataire, masculine
allochtone, masculine
allocutaire, masculine
allogène, masculine
almoravide, masculine
alpiniste, masculine
altermondialiste, masculine
altiste, masculine
altruiste, masculine
amazighophone, masculine
ambidextre, masculine
amblyope, masculine
aménagiste, masculine
amhara, masculine
analyste, masculine
anarchiste, masculine
anarque, masculine
anatomiste, masculine
ancêtre, masculine
andretti, masculine
androgyne, masculine
andrologue, masculine
androphobe, masculine
anecdotiste, masculine
anesthésiste, masculine
angéliste, masculine
angliche, masculine
angliciste, masculine
anglomane, masculine
anglophile, masculine
anglophobe, masculine
anglophone, masculine
animalculiste, masculine
animaliste, masculine
animiste, masculine
annamite, masculine
annexionniste, masculine
anorexique, masculine
anosmique, masculine
anthropoïde, masculine
anthropologiste, masculine
anthropologue, masculine
anthropophage, masculine
anthroposociologue, masculine
anticapitaliste, masculine
anticolonialiste, masculine
anticommunautariste, masculine
anticommuniste, masculine
antiesclavagiste, masculine
antifa, masculine
antifasciste, masculine
